"listing_id","dl_high","dl_low","dl_medium"
7170325,0.0436004645681531,0.516877340992198,0.439522194439649
7092344,0.210237262928232,0.262623311158198,0.52713942591357
7158677,0.109778559549022,0.394228854629505,0.495992585821473
7211212,0.0823658922587129,0.367804869177883,0.549829238563404
7225292,0.000169275979926015,0.960483222895934,0.0393475011241402
7226687,0.000931314020236907,0.943651683211864,0.0554170027678992
7126989,0.0027720168107178,0.853326715657517,0.143901267531765
7114138,0.273936646568764,0.193416300890577,0.532647052540659
7131094,0.000182137136222475,0.981181719834046,0.018636143029732
7224815,0.000133109386038132,0.978108076974817,0.0217588136391449
7107333,9.15869684959804e-06,0.995260008130537,0.00473083317261306
7088993,0.219226625141454,0.247552033031182,0.533221341827363
7216312,0.0417463100880451,0.560229570934674,0.39802411897728
7140668,0.000226213581795403,0.973137783257635,0.0266360031605693
7141160,0.0107770533901622,0.733297233453903,0.255925713155935
7753784,6.16377526773725e-05,0.983233648423102,0.016704713824221
7140840,0.000839575210454723,0.956202799234657,0.0429576255548884
7172046,0.611435685638635,0.0362609811001326,0.352303333261232
7168225,2.73541602892176e-05,0.991327912082325,0.00864473375738595
7213185,3.81398934880521e-05,0.995375953568712,0.00458590653780018
7206465,0.0468243064787468,0.611050206996702,0.342125486524552
7134612,6.80086267673481e-05,0.986781688409129,0.0131503029641033
7156935,2.73030308631361e-06,0.995334754516062,0.00466251518085122
7096161,6.59030063573794e-05,0.986278141696373,0.01365595529727
7131812,0.0211636487001064,0.653588809072947,0.325247542226946
7185840,0.0168482189847854,0.710084978580474,0.273066802434741
7114220,7.74199219274844e-09,0.999976465026715,2.35272312927438e-05
7231209,0.0106074583531302,0.777546961470512,0.211845580176358
7229242,0.000220762902346677,0.971248061864112,0.0285311752335417
7089887,0.00556121537686255,0.81938344236076,0.175055342262377
7217009,0.0181923500677649,0.688864250654524,0.292943399277711
7167986,0.795477717606777,0.0279768303379736,0.17654545205525
7126940,0.00109050171294681,0.855434253255837,0.143475245031216
7159596,0.0796866525131591,0.464977683719835,0.455335663767006
7111210,0.393490065684728,0.0844880300154491,0.522021904299822
7152345,0.00414787292042229,0.863878687682977,0.131973439396601
7204899,0.000686827128575468,0.951389569154334,0.0479236037170901
7230245,0.0697179392811749,0.589339296529764,0.340942764189061
7211226,0.000624549148046028,0.95258832695137,0.0467871239005839
7195563,0.00513677685624868,0.774261652225345,0.220601570918406
7181313,0.0538685722210359,0.600821780330438,0.345309647448526
7206858,0.000166290232578549,0.971639997702522,0.0281937120648992
7126878,0.446020306098758,0.123280434526337,0.430699259374905
7174518,1.92218794077292e-05,0.998351012715432,0.0016297654051606
7209804,0.000877427353767321,0.943208404159146,0.0559141684870871
7119598,1.66263265552138e-06,0.997390716523642,0.00260762084370222
7133917,1.69438882657035e-06,0.998680974336965,0.00131733127420822
7174224,0.000918248686666025,0.954588357731184,0.0444933935821504
7157060,0.033922989439058,0.522352142926716,0.443724867634226
7173006,0.00234182407538051,0.947190952606962,0.0504672233176578
7216314,2.05308652061411e-06,0.978692978891068,0.0213049680224118
7219476,2.14365550337605e-07,0.999624291368299,0.000375494266151161
7139119,4.65124634625436e-06,0.996747862451791,0.00324748630186269
7206653,0.00657367329932608,0.781669450741071,0.211756875959603
7091061,0.000465643467242002,0.93575218493563,0.0637821715971284
7097027,0.000108652806983925,0.98836057113324,0.0115307760597758
7106145,0.0756056146011277,0.478931433274209,0.445462952124664
7167352,0.00116196386355292,0.930589394071953,0.068248642064494
7168370,2.82469223425027e-06,0.998289990172342,0.00170718513542361
7097907,0.000181016901725118,0.966063398248424,0.0337555848498505
7231268,0.0946923936616265,0.400071893922756,0.505235712415617
7136953,0.17485850440638,0.250305973567062,0.574835522026557
